X,date,month,month2,year,dmy,type,c_name,sc_name,Family,red_list,sex,clasper_stage,TL,gravid_F
14352,23,12,Dec,2022,23-12-2022,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,M,1,116.4645479,
1959,12,3,Mar,2021,12-03-2021,S,Grey Reef Shark,Carcharhinus amblyrhynchos,Carcharhinidae,EN,M,3,196.3717241,
1472,26,2,Feb,2021,26-02-2021,R,Blotched Fantail Ray,Taeniurops meyeni,Dasyatidae,VU,F,NA,150.8458015,
11352,13,5,May,2022,13-05-2022,S,Tiger Shark,Galeocerdo cuvier,Galeocerdonidae,NT,F,NA,154.2693796,
11198,13,4,Apr,2022,13-04-2022,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,F,NA,180.1208702,
5179,24,11,Nov,2021,24-11-2021,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,M,2,247.9282551,
1493,26,2,Feb,2021,26-02-2021,S,Bignose Shark,Carcharhinus altimus,Carcharhinidae,NT,M,2,172.3747835,
10430,6,4,Apr,2022,06-04-2022,S,Grey Reef Shark,Carcharhinus amblyrhynchos,Carcharhinidae,EN,M,1,94.05468238,
11488,21,5,May,2022,21-05-2022,S,Oceanic Whitetip Shark,Carcharhinus longimanus,Carcharhinidae,CR,F,NA,157.3600152,
14835,5,9,Sep,2022,05-09-2022,S,Blue Shark,Prionace glauca,Carcharhinidae,NT,F,NA,236.5138304,
17979,15,12,Dec,2022,15-12-2022,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,F,NA,312.6547225,
13203,30,11,Nov,2022,30-11-2022,R,Spinetail Devil Ray,Mobula mobular,Mobulidae,EN,F,NA,273.3270277,
12716,17,11,Nov,2022,17-11-2022,R,Oman Cownose Ray,Rhinoptera jayakari,Rhinopteridae,EN,M,3,119.635962,
19181,20,1,Jan,2023,20-01-2023,R,Pink Whipray,Pateobatis fai,Dasyatidae,VU,M,2,142.3242838,
10357,5,4,Apr,2022,05-04-2022,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,F,NA,173.1496028,
15421,3,10,Oct,2022,03-10-2022,S,Smooth Hammerhead,Sphyrna zygaena,Sphyrnidae,VU,F,NA,157.8200595,
18036,16,12,Dec,2022,16-12-2022,S,Oceanic Whitetip Shark,Carcharhinus longimanus,Carcharhinidae,CR,F,NA,166.7124708,
3447,6,9,Sep,2021,06-09-2021,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,M,1,117.8077509,
13800,16,12,Dec,2022,16-12-2022,S,Oceanic Whitetip Shark,Carcharhinus longimanus,Carcharhinidae,CR,F,NA,220.938523,
4530,31,8,Aug,2021,31-08-2021,S,Oceanic Whitetip Shark,Carcharhinus longimanus,Carcharhinidae,CR,F,NA,125.7829882,
15156,20,9,Sep,2022,20-09-2022,R,Oman Cownose Ray,Rhinoptera jayakari,Rhinopteridae,EN,F,NA,104.1119919,
19877,7,2,Feb,2023,07-02-2023,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,M,2,261.7551651,
13653,14,12,Dec,2022,14-12-2022,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,F,NA,127.0193402,
15451,3,10,Oct,2022,03-10-2022,R,Spinetail Devil Ray,Mobula mobular,Mobulidae,EN,F,NA,284.9756362,
7503,10,2,Feb,2022,10-02-2022,S,Blue Shark,Prionace glauca,Carcharhinidae,NT,M,3,274.8737802,
18076,16,12,Dec,2022,16-12-2022,S,Blue Shark,Prionace glauca,Carcharhinidae,NT,M,3,295.8998744,
1483,26,2,Feb,2021,26-02-2021,S,Zebra Shark,Stegostoma tigrinum,Stegostomatidae,EN,F,NA,197.5153072,
2606,26,3,Mar,2021,26-03-2021,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,F,NA,168.4688872,
4307,20,9,Sep,2021,20-09-2021,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,F,NA,139.6425799,
18531,23,12,Dec,2022,23-12-2022,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,F,NA,219.0836512,
10764,7,4,Apr,2022,07-04-2022,S,Bignose Shark,Carcharhinus altimus,Carcharhinidae,NT,M,3,218.4466391,
4246,17,9,Sep,2021,17-09-2021,R,Spinetail Devil Ray,Mobula mobular,Mobulidae,EN,M,3,269.7080715,
9819,26,3,Mar,2022,26-03-2022,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,F,NA,172.5223832,
4941,4,11,Nov,2021,03-11-2021,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,F,NA,134.4422642,
2073,16,3,Mar,2021,16-03-2021,S,Tiger Shark,Galeocerdo cuvier,Galeocerdonidae,NT,F,NA,225.3717313,
15082,19,9,Sep,2022,19-09-2022,S,Pelagic Thresher,Alopias pelagicus,Alopiidae,EN,M,1,241.405051,
645,8,2,Feb,2021,08-02-2021,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,F,NA,217.1629942,
14759,2,9,Sep,2022,02-09-2022,S,Spottail Shark,Carcharhinus sorrah,Carcharhinidae,NT,F,NA,180.0632862,
1334,25,2,Feb,2021,25-02-2021,S,Grey Reef Shark,Carcharhinus amblyrhynchos,Carcharhinidae,EN,F,NA,208.9003492,
6453,22,12,Dec,2021,22-12-2021,S,Scalloped Hammerhead,Sphyrna lewini,Sphyrnidae,CR,F,NA,217.2505953,
4563,31,8,Aug,2021,31-08-2021,S,Tiger Shark,Galeocerdo cuvier,Galeocerdonidae,NT,M,3,304.8042551,
19493,3,2,Feb,2023,03-02-2023,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,M,2,204.0865445,
12892,18,11,Nov,2022,18-11-2022,R,Spinetail Devil Ray,Mobula mobular,Mobulidae,EN,F,NA,265.9991481,
11713,3,6,Jun,2022,03-06-2022,S,Spinner Shark,Carcharhinus brevipinna,Carcharhinidae,VU,F,NA,321.9824443,
817,11,2,Feb,2021,11-02-2021,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,M,1,165.7164853,
12619,17,11,Nov,2022,17-11-2022,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,F,NA,112.7829186,
3487,6,9,Sep,2021,06-09-2021,R,Sicklefin Devil Ray,Mobula tarapacana,Mobulidae,EN,M,3,321.1345344,
9285,15,3,Mar,2022,15-03-2022,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,M,1,173.8166965,
15934,19,10,Oct,2022,19-10-2022,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,F,NA,154.2985013,
2715,17,8,Aug,2021,17-08-2021,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,F,NA,106.2085179,
15593,10,10,Oct,2022,10-10-2022,R,Spinetail Devil Ray,Mobula mobular,Mobulidae,EN,M,1,205.358183,
3842,9,9,Sep,2021,09-09-2021,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,M,1,105.8829586,
5694,8,12,Dec,2021,08-12-2021,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,F,NA,123.3367294,
18424,21,12,Dec,2022,21-12-2022,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,M,3,250.5361455,
14274,22,12,Dec,2022,22-12-2022,S,Zebra Shark,Stegostoma tigrinum,Stegostomatidae,EN,M,3,222.5630706,
1120,18,2,Feb,2021,18-02-2021,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,F,NA,167.4903655,
10299,4,4,Apr,2022,04-04-2022,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,F,NA,198.0537582,
4676,28,9,Sep,2021,28-09-2021,S,Pelagic Thresher,Alopias pelagicus,Alopiidae,EN,F,NA,249.6706289,
11810,6,6,Jun,2022,06-06-2022,S,Bull Shark,Carcharhinus leucas,Carcharhinidae,VU,F,NA,367.2635486,
16991,18,11,Nov,2022,18-11-2022,R,Oceanic Manta Ray,Mobula birostris,Mobulidae,EN,F,NA,350.8287163,
8900,8,3,Mar,2022,08-03-2022,S,Bull Shark,Carcharhinus leucas,Carcharhinidae,VU,M,3,307.5995799,
211,25,1,Jan,2021,25-01-2021,S,Tiger Shark,Galeocerdo cuvier,Galeocerdonidae,NT,F,NA,109.7744634,
19275,24,1,Jan,2023,24-01-2023,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,F,NA,199.3432358,
2229,19,3,Mar,2021,19-03-2021,S,Oceanic Whitetip Shark,Carcharhinus longimanus,Carcharhinidae,CR,M,2,173.1120877,
3864,9,9,Sep,2021,09-09-2021,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,F,NA,140.2333039,
16281,7,11,Nov,2022,07-11-2022,S,Smooth Hammerhead,Sphyrna zygaena,Sphyrnidae,VU,F,NA,217.8643957,
2233,19,3,Mar,2021,19-03-2021,S,Oceanic Whitetip Shark,Carcharhinus longimanus,Carcharhinidae,CR,M,2,157.8607454,
4575,31,8,Aug,2021,31-08-2021,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,F,NA,114.8751526,
14231,21,12,Dec,2022,21-12-2022,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,M,3,229.4852138,
1007,16,2,Feb,2021,16-02-2021,S,Oceanic Whitetip Shark,Carcharhinus longimanus,Carcharhinidae,CR,F,NA,139.7515419,
2459,24,3,Mar,2021,24-03-2021,R,Spinetail Devil Ray,Mobula mobular,Mobulidae,EN,F,NA,220.1407836,
1535,1,3,Mar,2021,01-03-2021,S,Bluntnose Sixgill Shark,Hexanchus griseus,Hexanchidae,NT,F,NA,190.7786928,
6562,23,12,Dec,2021,23-12-2021,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,F,NA,155.7339049,
5225,25,11,Nov,2021,25-11-2021,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,M,3,271.8334965,
13162,30,11,Nov,2022,30-11-2022,S,Zebra Shark,Stegostoma tigrinum,Stegostomatidae,EN,M,1,218.9156237,
18621,22,12,Dec,2022,22-12-2022,S,Blacktip Shark,Carcharhinus limbatus,Carcharhinidae,VU,F,NA,186.1952402,
6066,16,12,Dec,2021,16-12-2021,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,M,2,188.413151,
18582,22,12,Dec,2022,22-12-2022,R,Spinetail Devil Ray,Mobula mobular,Mobulidae,EN,F,NA,226.7755098,
10168,2,4,Apr,2022,02-04-2022,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,M,1,139.5218677,
17617,2,12,Dec,2022,02-12-2022,R,Oceanic Manta Ray,Mobula birostris,Mobulidae,EN,F,NA,299.9034055,
15051,19,9,Sep,2022,19-09-2022,S,Tiger Shark,Galeocerdo cuvier,Galeocerdonidae,NT,M,3,267.3938016,
11025,11,4,Apr,2022,11-04-2022,S,Oceanic Whitetip Shark,Carcharhinus longimanus,Carcharhinidae,CR,F,NA,233.2673187,
10813,8,4,Apr,2022,08-04-2022,S,Longfin Mako,Isurus paucus,Lamnidae,EN,F,NA,170.1320705,
16931,17,11,Nov,2022,17-11-2022,R,Oman Cownose Ray,Rhinoptera jayakari,Rhinopteridae,EN,F,NA,142.6770822,
2950,19,8,Aug,2021,19-08-2021,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,F,NA,161.390629,
15643,10,10,Oct,2022,10-10-2022,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,M,1,102.9306439,
9647,19,3,Mar,2022,19-03-2022,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,M,2,214.2970345,
12355,10,11,Nov,2022,10-11-2022,S,Blue Shark,Prionace glauca,Carcharhinidae,NT,F,NA,248.7155959,
6820,10,1,Jan,2022,10-01-2022,R,Spinetail Devil Ray,Mobula mobular,Mobulidae,EN,M,3,248.9674922,
19500,3,2,Feb,2023,03-02-2023,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,F,NA,214.7664637,
7117,1,2,Feb,2022,01-02-2022,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,M,1,118.7547829,
10690,7,4,Apr,2022,07-04-2022,S,Spottail Shark,Carcharhinus sorrah,Carcharhinidae,NT,M,3,181.6415221,
8294,25,2,Feb,2022,25-02-2022,S,Longfin Mako,Isurus paucus,Lamnidae,EN,F,NA,192.9202662,
16803,17,11,Nov,2022,17-11-2022,S,Blue Shark,Prionace glauca,Carcharhinidae,NT,M,3,257.7508321,
13725,15,12,Dec,2022,15-12-2022,S,Tiger Shark,Galeocerdo cuvier,Galeocerdonidae,NT,F,NA,194.3302656,
14082,21,12,Dec,2022,21-12-2022,R,Spinetail Devil Ray,Mobula mobular,Mobulidae,EN,F,NA,229.9203739,
13434,2,12,Dec,2022,02-12-2022,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,F,NA,153.4481556,
30,19,1,Jan,2021,19-01-2021,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,M,2,156.6609709,No
15878,19,10,Oct,2022,19-10-2022,S,Bigeye Thresher,Alopias superciliosus,Alopiidae,VU,F,NA,266.6338921,
15577,10,10,Oct,2022,10-10-2022,R,Oman Cownose Ray,Rhinoptera jayakari,Rhinopteridae,EN,F,NA,112.8392635,
15220,27,9,Sep,2022,27-09-2022,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,F,NA,123.7413306,
3428,6,9,Sep,2021,06-09-2021,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,M,2,185.3577378,
1317,25,2,Feb,2021,25-02-2021,R,Pink Whipray,Pateobatis fai,Dasyatidae,VU,F,NA,170.91807,
2006,16,3,Mar,2021,16-03-2021,S,Bramble Shark,Echinorhinus brucus,Echinorhinidae,EN,F,NA,281.6391119,
1687,9,3,Mar,2021,09-03-2021,S,Longfin Mako,Isurus paucus,Lamnidae,EN,F,NA,187.9762173,
3524,7,9,Sep,2021,07-09-2021,R,Spinetail Devil Ray,Mobula mobular,Mobulidae,EN,F,NA,193.2618861,
2497,24,3,Mar,2021,24-03-2021,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,M,2,186.4781409,
17966,15,12,Dec,2022,15-12-2022,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,F,NA,214.4002932,
9914,31,3,Mar,2022,31-03-2022,S,Tawny Nurse Shark,Nebrius ferrugineus,Ginglymostomatidae,VU,M,3,271.1024304,
4642,28,9,Sep,2021,28-09-2021,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,M,1,133.7004769,
14532,23,8,Aug,2022,23-08-2022,S,Tiger Shark,Galeocerdo cuvier,Galeocerdonidae,NT,F,NA,340.1422845,
13073,24,11,Nov,2022,24-11-2022,R,Sicklefin Devil Ray,Mobula tarapacana,Mobulidae,EN,F,NA,336.4256228,
6612,5,1,Jan,2022,05-01-2022,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,M,1,98.98685657,
19595,6,2,Feb,2023,06-02-2023,S,Blacktip Shark,Carcharhinus limbatus,Carcharhinidae,VU,F,NA,268.9293795,
17892,15,12,Dec,2022,15-12-2022,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,M,1,181.0676002,
17097,18,11,Nov,2022,18-11-2022,R,Spinetail Devil Ray,Mobula mobular,Mobulidae,EN,F,NA,268.2026811,
7015,1,2,Feb,2022,01-02-2022,S,Blacktip Shark,Carcharhinus limbatus,Carcharhinidae,VU,F,NA,192.1309537,
1753,10,3,Mar,2021,10-03-2021,S,Zebra Shark,Stegostoma tigrinum,Stegostomatidae,EN,F,NA,202.224785,
486,2,2,Feb,2021,02-02-2021,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,F,NA,249.7943359,
15570,10,10,Oct,2022,10-10-2022,R,Oman Cownose Ray,Rhinoptera jayakari,Rhinopteridae,EN,F,NA,121.0677187,
8737,4,3,Mar,2022,04-03-2022,R,Pink Whipray,Pateobatis fai,Dasyatidae,VU,F,NA,142.7821049,
18742,4,1,Jan,2023,04-01-2023,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,F,NA,120.3471548,
11695,3,6,Jun,2022,03-06-2022,S,Scalloped Hammerhead,Sphyrna lewini,Sphyrnidae,CR,F,NA,253.246426,
16252,2,11,Nov,2022,02-11-2022,S,Oceanic Whitetip Shark,Carcharhinus longimanus,Carcharhinidae,CR,M,1,145.5343816,
18762,4,1,Jan,2023,04-01-2023,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,F,NA,171.0867237,
16162,26,10,Oct,2022,26-10-2022,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,F,NA,151.4868609,
1707,9,3,Mar,2021,09-03-2021,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,F,NA,91.56693414,
9627,16,3,Mar,2022,16-03-2022,R,Oman Cownose Ray,Rhinoptera jayakari,Rhinopteridae,EN,M,3,110.2377866,
18919,17,1,Jan,2023,17-01-2023,R,Spinetail Devil Ray,Mobula mobular,Mobulidae,EN,F,NA,294.3310293,
14785,2,9,Sep,2022,02-09-2022,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,F,NA,114.8564916,
12668,17,11,Nov,2022,17-11-2022,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,M,1,125.7509922,
8568,1,3,Mar,2022,01-03-2022,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,F,NA,155.4081715,
13919,19,12,Dec,2022,19-12-2022,R,Spinetail Devil Ray,Mobula mobular,Mobulidae,EN,M,1,231.4540769,
14813,2,9,Sep,2022,02-09-2022,S,Tiger Shark,Galeocerdo cuvier,Galeocerdonidae,NT,F,NA,380.3480809,
6389,22,12,Dec,2021,22-12-2021,S,Shortfin Mako,Isurus oxyrinchus,Lamnidae,EN,M,3,281.1171741,
384,29,1,Jan,2021,29-01-2021,S,Tiger Shark,Galeocerdo cuvier,Galeocerdonidae,NT,M,3,296.2985676,
19468,3,2,Feb,2023,03-02-2023,S,Tiger Shark,Galeocerdo cuvier,Galeocerdonidae,NT,F,NA,238.6186624,
12459,14,11,Nov,2022,14-11-2022,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,F,NA,88.979798,
17608,1,12,Dec,2022,01-12-2022,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,F,NA,103.6904853,
13298,30,11,Nov,2022,30-11-2022,R,Spinetail Devil Ray,Mobula mobular,Mobulidae,EN,M,2,256.0288998,
7579,10,2,Feb,2022,10-02-2022,S,Oceanic Whitetip Shark,Carcharhinus longimanus,Carcharhinidae,CR,F,NA,188.4789367,
5363,1,2,Feb,2021,01-12-2021,S,Longfin Mako,Isurus paucus,Lamnidae,EN,M,2,178.0021454,
4933,4,11,Nov,2021,03-11-2021,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,F,NA,123.0365618,
13949,19,12,Dec,2022,19-12-2022,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,M,1,131.0263636,
14383,22,12,Dec,2022,22-12-2022,R,Spinetail Devil Ray,Mobula mobular,Mobulidae,EN,M,3,263.6194277,
963,16,2,Feb,2021,16-02-2021,S,Zebra Shark,Stegostoma tigrinum,Stegostomatidae,EN,F,NA,213.3078306,
10072,2,4,Apr,2022,02-04-2022,S,Smooth Hammerhead,Sphyrna zygaena,Sphyrnidae,VU,F,NA,246.4965852,
95,21,1,Jan,2021,21-01-2021,S,Oceanic Whitetip Shark,Carcharhinus longimanus,Carcharhinidae,CR,M,2,121.8183414,
4566,31,8,Aug,2021,31-08-2021,S,Scalloped Hammerhead,Sphyrna lewini,Sphyrnidae,CR,M,2,210.7717777,
5038,9,11,Nov,2021,09-11-2021,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,M,1,131.3407388,
17324,29,11,Nov,2022,29-11-2022,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,M,1,142.9255932,
17829,13,12,Dec,2022,13-12-2022,S,Oceanic Whitetip Shark,Carcharhinus longimanus,Carcharhinidae,CR,F,NA,158.8182981,
13520,5,12,Dec,2022,05-12-2022,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,M,1,112.3471116,
5612,7,12,Dec,2021,07-12-2021,R,Spinetail Devil Ray,Mobula mobular,Mobulidae,EN,M,1,217.8169876,
15151,20,9,Sep,2022,20-09-2022,S,Spottail Shark,Carcharhinus sorrah,Carcharhinidae,NT,F,NA,184.6021113,
667,8,2,Feb,2021,08-02-2021,S,Shortfin Mako,Isurus oxyrinchus,Lamnidae,EN,M,2,148.8455392,
11823,6,6,Jun,2022,06-06-2022,R,Bowmouth Guitarfish,Rhina ancylostoma,Rhinidae,CR,M,3,258.5575336,
16692,15,11,Nov,2022,15-11-2022,S,Bull Shark,Carcharhinus leucas,Carcharhinidae,VU,M,3,312.0155758,
9827,30,3,Mar,2022,30-03-2022,S,Bull Shark,Carcharhinus leucas,Carcharhinidae,VU,M,2,250.7468556,
8303,25,2,Feb,2022,25-02-2022,S,Grey Reef Shark,Carcharhinus amblyrhynchos,Carcharhinidae,EN,F,NA,106.4881395,
10725,7,4,Apr,2022,07-04-2022,S,Bluntnose Sixgill Shark,Hexanchus griseus,Hexanchidae,NT,F,NA,241.5908027,
13886,16,12,Dec,2022,16-12-2022,R,Spotted Eagle Ray,Aetobatus ocellatus,Aetobatidae,VU,F,NA,191.9085917,
1723,10,3,Mar,2021,10-03-2021,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,F,NA,163.2989966,
11714,3,6,Jun,2022,03-06-2022,S,Spinner Shark,Carcharhinus brevipinna,Carcharhinidae,VU,F,NA,234.8974657,
8629,2,3,Mar,2022,02-03-2022,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,M,3,240.2683349,
1830,12,3,Mar,2021,12-03-2021,R,Pink Whipray,Pateobatis fai,Dasyatidae,VU,M,3,126.4037169,
5081,23,11,Nov,2021,23-11-2021,R,Spinetail Devil Ray,Mobula mobular,Mobulidae,EN,M,3,275.1267947,
9809,26,3,Mar,2022,26-03-2022,S,Grey Reef Shark,Carcharhinus amblyrhynchos,Carcharhinidae,EN,F,NA,116.8107425,
9170,9,3,Mar,2022,09-03-2022,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,F,NA,157.4260974,
7254,3,2,Feb,2022,03-02-2022,S,Scalloped Hammerhead,Sphyrna lewini,Sphyrnidae,CR,F,NA,213.4696479,
12328,9,11,Nov,2022,09-11-2022,R,Oman Cownose Ray,Rhinoptera jayakari,Rhinopteridae,EN,M,3,105.5512366,
11436,19,5,May,2022,19-05-2022,S,Oceanic Whitetip Shark,Carcharhinus longimanus,Carcharhinidae,CR,F,NA,178.70449,
11936,30,5,May,2022,30-05-2022,S,Blacktip Shark,Carcharhinus limbatus,Carcharhinidae,VU,M,3,242.2541627,
14807,2,9,Sep,2022,02-09-2022,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,M,1,127.4712285,
6263,20,12,Dec,2021,20-12-2021,R,Blotched Fantail Ray,Taeniurops meyeni,Dasyatidae,VU,F,NA,158.6928469,
9786,26,3,Mar,2022,26-03-2022,R,Cowtail Ray,Pastinachus sephen,Dasyatidae,NT,M,1,83.82996801,
18025,16,12,Dec,2022,16-12-2022,S,Oceanic Whitetip Shark,Carcharhinus longimanus,Carcharhinidae,CR,M,3,297.9611291,
2106,17,3,Mar,2021,17-03-2021,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,F,NA,155.0285971,
17853,14,12,Dec,2022,14-12-2022,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,F,NA,128.0810946,
18701,3,1,Jan,2023,03-01-2023,S,Oceanic Whitetip Shark,Carcharhinus longimanus,Carcharhinidae,CR,F,NA,119.4825163,
13719,15,12,Dec,2022,15-12-2022,S,Scalloped Hammerhead,Sphyrna lewini,Sphyrnidae,CR,M,2,218.4192552,
2712,17,8,Aug,2021,17-08-2021,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,F,NA,110.3064105,
2069,16,3,Mar,2021,16-03-2021,S,Oceanic Whitetip Shark,Carcharhinus longimanus,Carcharhinidae,CR,M,2,176.8713509,
12095,7,11,Nov,2022,07-11-2022,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,F,NA,116.6775769,
713,9,2,Feb,2021,09-02-2021,S,Shortfin Mako,Isurus oxyrinchus,Lamnidae,EN,M,2,197.5360783,
19127,20,1,Jan,2023,20-01-2023,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,F,NA,183.4019325,
11989,30,5,May,2022,30-05-2022,S,Tiger Shark,Galeocerdo cuvier,Galeocerdonidae,NT,F,NA,160.0885169,
16171,26,10,Oct,2022,26-10-2022,S,Shortfin Mako,Isurus oxyrinchus,Lamnidae,EN,M,2,184.7675603,
12483,15,11,Nov,2022,15-11-2022,S,Tiger Shark,Galeocerdo cuvier,Galeocerdonidae,NT,F,NA,159.2236459,
16798,17,11,Nov,2022,17-11-2022,S,Longfin Mako,Isurus paucus,Lamnidae,EN,F,NA,177.2350303,
14749,2,9,Sep,2022,02-09-2022,S,Bigeye Thresher,Alopias superciliosus,Alopiidae,VU,F,NA,185.6635824,
11467,21,5,May,2022,21-05-2022,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,F,NA,182.8813362,
12736,17,11,Nov,2022,17-11-2022,R,Oman Cownose Ray,Rhinoptera jayakari,Rhinopteridae,EN,F,NA,120.1475729,
10812,8,4,Apr,2022,08-04-2022,S,Longfin Mako,Isurus paucus,Lamnidae,EN,F,NA,145.5596791,
9804,26,3,Mar,2022,26-03-2022,R,Shorthorned Pygmy Devil Ray,Mobula kuhlii,Mobulidae,EN,F,NA,68.02968702,
18569,23,12,Dec,2022,23-12-2022,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,F,NA,147.6394208,
10178,2,4,Apr,2022,02-04-2022,S,Grey Reef Shark,Carcharhinus amblyrhynchos,Carcharhinidae,EN,F,NA,123.1287925,
4045,16,9,Sep,2021,16-09-2021,S,Pelagic Thresher,Alopias pelagicus,Alopiidae,EN,M,2,217.0557432,
4538,31,8,Aug,2021,31-08-2021,S,Bignose Shark,Carcharhinus altimus,Carcharhinidae,NT,F,NA,179.3460342,
1733,10,3,Mar,2021,10-03-2021,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,F,NA,167.3956909,
18388,21,12,Dec,2022,21-12-2022,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,F,NA,256.6133345,
511,3,2,Feb,2021,03-02-2021,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,M,2,210.8452706,
7746,11,2,Feb,2022,11-02-2022,S,Tawny Nurse Shark,Nebrius ferrugineus,Ginglymostomatidae,VU,F,NA,131.9918434,
4168,17,9,Sep,2021,17-09-2021,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,F,NA,112.7977555,
6700,6,1,Jan,2022,06-01-2022,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,M,1,131.6772438,
10081,2,4,Apr,2022,02-04-2022,S,Shortfin Mako,Isurus oxyrinchus,Lamnidae,EN,F,NA,119.3719429,
9728,22,3,Mar,2022,22-03-2022,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,M,2,198.7842797,
13323,30,11,Nov,2022,30-11-2022,R,Spinetail Devil Ray,Mobula mobular,Mobulidae,EN,F,NA,265.2507673,
11441,19,5,May,2022,19-05-2022,S,Silky Shark,Carcharhinus falciformis,Carcharhinidae,VU,F,NA,180.5359027,
